bus_no,route_name,stops_name_between_route
1010,Railway Station-D ⇆ Taj Nagar D,Railway Station-D → Yammikeri → Court Circle → Cbt-D → Shivaji Circle → Ganapathi Gudi → Ramana Gouda Cross → Masjid → Goudar Oni → Malapura → Hashmi Nagar → Taj Nagar D
1012,Taj Nagar D ⇆ CBT-D,Cbt-D → Shivaji Circle → Ganapathi Gudi → Ramana Gouda Cross → Masjid → Goudar Oni → Malapura → Hashmi Nagar → Taj Nagar D
1012,Taj Nagar D ⇆ CBT-D,Taj Nagar D → Hashmi Nagar → Malapura → Goudar Oni → Masjid → Ramana Gouda Cross → Shivaji Circle → Cbt-D
1013,CBT-D ⇆ Nehru Nagar,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar Cross → Shivalaya → Ics College → Nehru Nagar Cross → Neharu Nagar 1St Stop → Nehru Nagar
1013,Neharu Nagar ⇆ CBT-D,Neharu Nagar → Neharu Nagar 1St Stop → Nehru Nagar Cross → Ics College → Shivalaya → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Cbt-D
1014,CBT-D ⇆ Pavate Nagar,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Womens Hostel → Girls Hostel → Pavate Nagar
1014,CBT-D ⇆ Pavate Nagar,Pavate Nagar → Working Womens Hostel → Womens Hostel → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Cbt-D
1015,CBT-D ⇆ Radhakrishna Nagar,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Michigan Compound → Galagali Hospital → Sarwamangala Hospital → Parisara Bhavan → Srinagar Cross → Shivalaya → Radhakrishna Nagar
1015,CBT-D ⇆ Radhakrishna Nagar,Radhakrishna Nagar → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Galagali Hospital → Michigan Compound → Saptapura → Naidu Girini → K C D → Lic → Jubilee Circle → Cbt-D
1016,Sai Nagar-D ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Saptapura School → Shripadha Nagar → Sai Nagar 1St Stop → Sai Nagar-D
1016,Sai Nagar-D ⇆ CBT-D,Sai Nagar-D → Sai Nagar 1St Stop → Shripadha Nagar → Shripada Nagar Cross → Saptapura School → Saptapura → K C D → Lic → Jubilee Circle → Cbt-D
1017,CBT-D ⇆ Kalyan Nagar,Cbt-D → Jubilee Circle → Court Circle → Brindhavan → Head Post Office → Dc Office → Uday Hostel → Old Central School → Kariyyamma Temple → Barakotri → Barakotari Bridge → Navodhaya Nagar → Pavate Nagar → Bhala Balaga → Nisarga → Hanumanthaa Nagar Cross → Twok Quartz → 9Th Cross Kalyan Nagar → Kalyan Nagar
1017,CBT-D ⇆ Kalyan Nagar,Kalyan Nagar → 9Th Cross Kalyan Nagar → Twok Quartz → Hanumanthaa Nagar Cross → Nisarga → Bhala Balaga → Pavate Nagar → Navodhaya Nagar → Barakotari Bridge → Barakotri → Kariyyamma Temple → Old Central School → Uday Hostel → C B Nagar → Headpost Office → Brindhavan → Court Circle → Jubilee Circle → Cbt-D
1018,CBT-D ⇆ Anjana Nagar-D1,Cbt-D → Jubilee Circle → Lic → Kcd → Dasanakoppa → Canara Colony → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Vinayaka Nagar D → Paper Mill → Kelgeri → Anjaneya School Stop → Kelageri Anjaneya 1St Stop → Anjana Nagar-D1
1018,CBT-D ⇆ Anjana Nagar-D1,Anjana Nagar-D1 → Kelageri Anjaneya 1St Stop → Anjaneya School Stop → Kelgeri → Paper Mill → Vinayaka Nagar Cross → Vinayaka Nagar D → Sai Nagar-D → Banashankeri Nagar → Canara Colony → Dasanakoppa → K C D → Lic → Jubilee Circle → Cbt-D
1019,Sangolli Rayana Nagar ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Tajesavi Nagar → Tejasvi Nagar Bus Stop → Sangolli Rayanna Nagar 1St Cross → Sangolli Rayana Nagar
1019,Sangolli Rayana Nagar ⇆ CBT-D,Sangolli Rayana Nagar → Sangolli Rayanna Nagar 1St Cross → Tejasvi Nagar Bus Stop → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Vijaya Bank-D → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
102,Gokul ⇆ RLY 3RD Gate,Gokul → Anjaneya Nagar → Gokul Cross → K L E College → Airport → B D K → Kec → Arjun Vihar Cross → Neharu Nagar Water Tank → Silver Town Cross → Manjunatha Nagar Cross → Basaveshwara Nagar Cross → Akshay Park → 2Nd Gate → 1St Gate → New Bus Stand-H → Rwh → Quarters → Bannigida → Hosur → Hubli Obs (Outside) → Corporation-H → Railway Station-H → Rly 3Rd Gate
