bus_no,route_name,stops_name_between_route
1046,Navlur ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Suvarna Petrol Bunk → Vidya Giri → Gandhi Nagar Cross - D → Yalakki Shetter Colony → Kmf - D → Lakamanahalli Corridor → Navlur K E B → Ozone → Navlur Cross → Chavani → Navlur School → Navlur
1047,CBT-D ⇆ Tadsinakoppa,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Suvarna Petrol Bunk → Vidya Giri → Gandhi Nagar Cross - D → Yalakki Shetter Colony → Kmf - D → Lakamanahalli Corridor → Navlur K E B → Ozone → Navalur Cross → Dental Cross → Vanashri Nagar Cross → Ashraya Colony → Uday Giri Cross → Itti Gatti Cross → Basavanna Temple → Durgamma Temple Tadasinkoppa → Tadasinakoppa Govt School → Tadsinakoppa
1047,Tadsinkoppa ⇆ CBT-D,Tadsinkoppa → Tadasinakoppa Govt School → Durgamma Temple Tadasinkoppa → Basavanna Temple → Itti Gatti Cross → Uday Giri Cross → Ashraya Colony → Vanashri Nagar Cross → Dental Cross → Navalur Cross → Ozone → Navlur K E B → Lakamanahalli Corridor → Kmf - D → Yalakki Shetter Colony → Gandhi Nagar Cross - D → Vidya Giri → Suvarna Petrol Bunk → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1048,CBT-D ⇆ Vanashri Nagar,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Suvarna Petrol Bunk → Vidya Giri → Gandhi Nagar Cross - D → Yalakki Shetter Colony → Kmf - D → Lakamanahalli Corridor → Navlur K E B → Ozone → Navalur Cross → Dental Cross → Ashraya Colony Cross → Sdm Quarters → Vanashri Nagar 1St Stop → Kondappan Layout → Shreyas Colony → Rama Krishna → Vanashri Nagar
1048,CBT-D ⇆ Vanashri Nagar,Vanashri Nagar → Rama Krishna → Shreyas Colony → Kondappan Layout → Vanashri Nagar 1St Stop → Sdm Quarters → Ashraya Colony Cross → Dental Cross → Navalur Cross → Ozone → Navlur K E B → Lakamanahalli Corridor → Kmf - D → Yalakki Shetter Colony → Gandhi Nagar Cross - D → Vidya Giri → Suvarna Petrol Bunk → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1049,CBT-D ⇆ New Bus Stand-D,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D
1049,CBT-D ⇆ New Bus Stand-D,New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Cbt-D
105,Chabbi ⇆ Hosur Terminal,Chabbi → Chabbi Socity → Haralikatti 2Nd Cross → Chabbi Siddharudha Matt → Haralikatti 1St Cross → Chabbi Cross → Pale Cross → Serevad Cross → Noolvi Cross → Adrgunchi Cross → Budarsingi → Kundagol Cross → Gabbur Sh → Bidnal Cross Sh → Bankapur Chouk Sh → New English School Sh → Noorani Market → Obs Sh → Hosur Terminal
105,Chabbi ⇆ Hosur Terminal,Hosur Terminal → Obs Sh → Noorani Market → New English School Sh → Bankapur Chouk Sh → Bidnal Cross Sh → Gabbur Sh → Kundagol Cross → Budarsingi → Adrgunchi Cross → Noolvi Cross → Serevad Cross → Pala Cross → Chabbi Cross → Haralikatti 1St Cross → Chabbi Siddharudha Matt → Haralikatti 2Nd Cross → Chabbi Socity → Chabbi
1050,Rajiv Gandhi Nagar ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Vijaya Bank-D → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Purohith Nagar → Sdm Engg College → Kendriya Vidyalaya → Someshwara Temple → Siddeshwara Nagar → Rajiv Gandhi Nagar 1St Stop → Shankar Kirani Store → Menashinakai Oni → Railway Track → Rajiv Gandhi Nagar School → Rajiv Gandhi Nagar
1050,Rajiv Gandhi Nagar ⇆ CBT-D,Rajiv Gandhi Nagar → Rajiv Gandhi Nagar School → Railway Track → Menashinakai Oni → Shankar Kirani Store → Rajiv Gandhi Nagar 1St Stop → Siddeshwara Nagar → Someshwara Temple → Kendriya Vidyalaya → Sdm Engg College → Purohith Nagar → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Vijaya Bank-D → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1051,CBT-D ⇆ Saraswathipura,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Modern Hall → Saraswathipura
1051,CBT-D ⇆ Saraswathipura,Saraswathipura → Modern Hall → Nttf → Hosa Yallapur Cross → Court Circle → Jubilee Circle → Cbt-D
1053,CBT-D ⇆ JSS Public School,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar Cross → Shivalaya → Ics College → Nehru Nagar Cross → Neharu Nagar 1St Stop → Nehru Nagar → Jss Public School
1053,CBT-D ⇆ JSS Public School,Jss Public School → Neharu Nagar → Neharu Nagar 1St Stop → Nehru Nagar Cross → Ics College → Shivalaya → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Cbt-D
1054,Hanumanth Nagar -D ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Brindhavan → Head Post Office → Dc Office → Uday Hostel → Old Central School → Kariyyamma Temple → Ragavendra Nagar → Barakotri → Barakotari Bridge → Nirmala Nagar → Navodhaya Nagar → Extranal Department → Ka Univercity → Nijalingappa Hostel → Bhala Balaga → Nisarga → Hanumanthaa Nagar Cross → Hanumanth Nagar -D
1054,Hanumanth Nagar -D ⇆ CBT-D,Hanumanth Nagar -D → Hanumanthaa Nagar Cross → Nisarga → Bhala Balaga → Nijalingappa Hostel → Ka Univercity → Extranal Department → Navodhaya Nagar → Nirmala Nagar → Barakotari Bridge → Barakotri → Ragavendra Nagar → Kariyyamma Temple → Old Central School → Uday Hostel → C B Nagar → Headpost Office → Brindhavan → Court Circle → Jubilee Circle → Cbt-D
1057,Jogellapur ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Vijaya Bank-D → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Purohith Nagar → M I S → Giri Nagar D → Hattikola Cross → Nugikeri Hanuman Temple Gate → Hanchinamani College → Nugikeri Village → Yarikoppa Cross → Jogellapur Cross → Jogellapur 1St Stop → Jogyallapur 2Nd Stop → Jogellapur
1057,Jogellapur ⇆ CBT-D,Jogellapur → Jogyallapur 2Nd Stop → Jogellapur 1St Stop → Jogellapur Cross → Yarikoppa Cross → Nugikeri Village → Hanchinamani College → Nugikeri Hanuman Temple Gate → Hattikol Cross → Giri Nagar D → M I S → Purohith Nagar → Saraswathipura → Rajathagiri → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1058,CBT-D ⇆ Lohiya Nagar -D1,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Vijaya Bank-D → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Purohith Nagar → M I S → Lohiya Nagar -D1
1058,CBT-D ⇆ Lohiya Nagar -D1,Lohiya Nagar -D1 → M I S → Purohith Nagar → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Vijaya Bank-D → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1059,CBT-D ⇆ Jadava Nagar -D1,Cbt-D → Jubilee Circle → Court Circle → Yammikeri → Modern Hall → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Tajesavi Nagar → Tejasvi Nagar Bus Stop → Jadava Nagar -D1
1059,CBT-D ⇆ Jadava Nagar -D1,Jadava Nagar -D1 → Tejasvi Nagar Bus Stop → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Vijaya Bank-D → Modern Hall → Yammikeri → Court Circle → Jubilee Circle → Cbt-D
106,Hosur Terminal ⇆ Chavaragudda,Chavaragudda → Ramapur Cross → Ramapur → Ramapur Cross → Chennapur → M/S (Milestone) → Bridge Rc1 → Shiva Gowdown → Anchitageri Govt School → Anchitageri → Wali → Kempegeri → Karwar Road Bypass → Grid Sh → Indi Pump Sh → Hosur Terminal
106,Hosur Terminal ⇆ Chavaragudda,Hosur Terminal → Indi Pump Sh → Grid Sh → Karwar Road Bypass → Kempegeri → Wali → Anchitageri → Anchitageri Govt School → Shiva Gowdown → Bridge Rc2 → M/S (Milestone) → Chennapur → Ramapura Cross → Ramapur → Ramapur Cross → Chavaragudda
1061,CBT-D ⇆ Iiit-D1,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Suvarna Petrol Bunk → Vidya Giri → Gandhi Nagar Cross - D → Yalakki Shetter Colony → Kmf - D → Lakamanahalli Corridor → Navlur K E B → Ozone → Navlur → Dental Cross → Vanashri Nagar Cross → Ashraya Colony → Uday Giri Cross → Iiit-D1
1061,CBT-D ⇆ Iiit-D1,Iiit-D1 → Uday Giri Cross → Ashraya Colony → Vanashri Nagar Cross → Dental Cross → Navlur → Ozone → Navlur K E B → Lakamanahalli Corridor → Kmf - D → Yalakki Shetter Colony → Gandhi Nagar Cross - D → Vidya Giri → Suvarna Petrol Bunk → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1065,Gamanagatti ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Suvarna Petrol Bunk → Vidya Giri → Gandhi Nagar Cross - D → Yalakki Shetter Colony → Kmf - D → Lakamanahalli Corridor → Navlur K E B → Ozone → Navlur → Sattur → Sdm Medical College → Navalur Railway Station → K M F 1 - D → Rayapur → Iskcon Temple → K S F C → Rto Office → Income Tax → Cancer Hospital → Bsr Circle → Karnataka Circle → Shivanand Nagar → City Park Cross → Joshi Pharma → M M Joshi Park → Kariyamma Temple-H → Gamanagatti
1065,Gamanagatti ⇆ CBT-D,Gamanagatti → Kariyamma Temple-H → M M Joshi Park → Joshi Pharma → City Park Cross → Shivanand Nagar → Karnataka Circle → Bsr Circle → Cancer Hospital → Navanagar Corridor → Income Tax → Rto Office → Iskcon Temple → Rayapur → K M F 1 - D2 → Navalur Railway Station → Sdm Medical College → Sattur Cross → Dental → Navalur Cross → Navlur K E B → Lakamanahalli Corridor → Kmf - D → Yalakki Shetter Colony → Gandhi Nagar Cross - D → Vidya Giri → Suvarna Petrol Bunk → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1066,Bendre Nagar ⇆ DWR SD,Bendre Nagar → Bgs School → Gtc Cross Sd → Gtc → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Corporation-D → Dwr Sd
1068,Pavate Nagar ⇆ DWR SD,Pavate Nagar → Working Womens Hostel → Womens Hostel → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Dwr Sd
107,Devargudihal ⇆ Hosur Terminal,Devargudihal → Devargudihal Form → Gariyan → Parsapur Plot → Parsapur → Vk Formouse → Gangival Govt School → Gangi Val → Raynal Darga → Kambar Sali → Raynal → Kambar Sali → Raynal Darga → Vani Plot → Shimla Nagar → Lakkyhall → Shubhash Nagar → Gudihal Cross → Indi Pump Sh → Old Hubli Circle → New English School-H → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
107,Devargudihal ⇆ Hosur Terminal,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School-H → Old Hubli Circle → Indi Pump Sh → Gudihal Cross → Shubhash Nagar → Lakkyhall → Shimla Nagar → Vani Plot → Raynal Darga → Kambar Sali → Raynal → Kambar Sali → Raynal Darga → Gangi Val → Gangival Govt School → Vk Formouse → Parsapur → Parsapur Plot → Gariyan → Devargudihal Form → Devargudihal
1072,CBT-D ⇆ Bellad Nagar,Cbt-D → Jubilee Circle → Court Circle → Brindhavan → Head Post Office → Yammikeri → Kaboor Road Cross → Water Tank D → Rayara Mata → Venkteshwara Temple → Desai Colony → Saraswathipura Cross → Saraswathipura → Tejasvi Nagar Bridge → Purohith Nagar → Sdm Engg College → Someshwara Temple → Bellad Nagar
1072,CBT-D ⇆ Bellad Nagar,Bellad Nagar → Someshwara Temple → Sdm Engg College → Purohith Nagar → Tajesavi Nagar → Saraswathipura → Saraswathipura Cross → Desai Colony → Venkteshwara Temple → Rayara Mata → Water Tank D → Kaboor Road Cross → Yammikeri → Head Post Office → Brindhavan → Court Circle → Jubilee Circle → Cbt-D
1073,Shivalli ⇆ DWR SD,Dwr Sd → Shivaji Circle → Hebballi Agasi → Mr Nagar → Tulja Bavani Gudi → Hebballi Form → Govin Koppa Cross → Mi Nalwadi School → Pattri Gida → Gongadi Koppa Cross → Somapur → Mardgi Cross → Hubballi Cross → Shivalli
1073,Shivalli ⇆ DWR SD,Shivalli → Hubballi Cross → Mardgi Cross → Somapur → Gongadi Koppa Cross → Pattri Gida → Mi Nalwadi School → Govin Koppa Cross → Hebballi Form → Tulja Bavani Gudi → Mr Nagar → Hebballi Agasi → Shivaji Circle → Raman Gouda Haspital → Old Sp Office → Corporation-D → Dwr Sd
1074,Talwai ⇆ CBT-D,Cbt-D → Shivaji Circle → Depot Circle → Murga Matha Sd → Mahanta Nagar → Kavalgeri Cross → Kavalgeri Mile Stone → Harni Bore → Gudusala → Kavalgeri Halla → Shettar Bangla 1St Stop → Shettar Bangla 2Nd Stop → Kavalgeri → Chandanmatti → Ashram → Kankur Govt School → Kankur → Kankur Mile Stone → Talwai
1074,Talwai ⇆ CBT-D,Talwai → Kankur Mile Stone → Kankur → Ashram → Chandanmatti → Kavalgeri → Shettar Bangla 2Nd Stop → Shettar Bangla 1St Stop → Kavalgeri Halla → Gudusala → Harni Bore → Kavalgeri Mile Stone → Kavalgeri Cross → Mahanta Nagar → Murga Matha Sd → Depot Circle Sd → Shivaji Circle Sd → Raman Gouda Haspital → Old Sp Office → Corporation-D → Cbt-D
1075,DWR SD ⇆ Baad,Dwr Sd → Dharwad Akashwani → Dasanakoppa → Shivalaya → Nehru Nagar Cross → Hallyal Railway Gate → Hoysala Nagar → Agro Nagar → Borewell → Mansur Cross → Salakin Koppa → Anand Ashram → Baad Dhaba → Baad Cross → Baad
1077,Belli Gatti ⇆ DWR SD,Belli Gatti → Mile Stione Kachha Rode → Managundi → Pandav Nagar → Managundi  1St Stop → Form → Manasur Plot → Mansur → Mansur Govt School → Siddeshwar Matha → Sali Matha School → Mansur Cross → Borewell → Agro Nagar → Hoysala Nagar → Hallyal Railway Gate → Nehru Nagar Cross → Ics College → Shivalaya → Servomangala → Dasanakoppa → Old Sp Office Sd → Corporation-D → Dwr Sd
1077,Belli Gatti ⇆ DWR SD,Dwr Sd → Oswal Sd → Old Sp Office → Dasanakoppa → Shivalaya → Nehru Nagar Cross → Hallyal Railway Gate → Hoysala Nagar → Agro Nagar → Borewell → Mansur Cross → Sali Matha School → Siddeshwar Matha → Mansur Govt School → Mansur → Manasur Plot → Form → Managundi Govt School → Managundi  1St Stop → Pandav Nagar → Managundi → Mile Stione Kachha Road → Belli Gatti
1078,CBT-D ⇆ Manjunatha Colony,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Tajesavi Nagar → Tejasvi Nagar Bus Stop → Sangolli Rayanna Nagar 1St Cross → Sangolli Rayana Nagar → Manjunatha Colony
1078,CBT-D ⇆ Manjunatha Colony,Manjunatha Colony → Sangolli Rayana Nagar → Sangolli Rayanna Nagar 1St Cross → Tejasvi Nagar Bus Stop → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Vijaya Bank-D → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1079,Agri College ⇆ Dharwad,Agri College → Admission Office → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Dsp → Jubilee Circle → Dharwad
1080,Belli Gatti ⇆ DWR SD,Belli Gatti → Mile Stione Kachha Rode → Managundi → Pandav Nagar → Managundi  1St Stop → Form → Manasur Plot → Mansur → Mansur Govt School → Siddeshwar Matha → Sali Matha School → Mansur Cross → Borewell → Agro Nagar → Hoysala Nagar → Hallyal Railway Gate → Nehru Nagar Cross → Ics College → Shivalaya → Servomangala → Dasanakoppa → Old Sp Office Sd → Corporation-D → Dwr Sd
1081,CBT-D ⇆ K H B Collony,Cbt-D → Oswal Sd → Old Dsp → K C Park → Mental Hospital → New Bus Stand-D → Police Head Quarters-D → Gtc → Patil Stop → Halla → Nursury → Malikarjun Gudi → Hire Malligwad → Chikkamalligawad Cross → K H B 1St Cross → K H B 2Nd Cross → K H B 3Rd Cross → K H B Collony
1081,KHB Collony ⇆ CBT-D,Khb Collony → K H B 3Rd Cross → K H B 2Nd Cross → K H B 1St Cross → Chikkamalligawad Cross → Hire Malligwad → Malikarjun Gudi → Nursury → Halla → Patil Stop → Gtc → Police Head Quarters-D → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Kalabhawan → Cbt-D
1083,Chandanmatti ⇆ CBT-D,Chandanmatti → Kavalgeri → Shettar Bangla 2Nd Stop → Shettar Bangla 1St Stop → Kavalgeri Halla → Gudusala → Harni Bore → Kavalgeri Mile Stone → Kavalgeri Cross → Mis → Mahanta Nagar → Murga Matha Sd → Depot Circle Sd → Shivaji Circle Sd → Raman Gouda Haspital → Old Sp Office → Corporation-D → Cbt-D
1083,DWR SD ⇆ Chandanmatti,Dwr Sd → Shivaji Circle → Murga Matha Sd → Mahanta Nagar → Mis → Kavalgeri Cross → Kavalgeri Mile Stone → Harni Bore → Gudusala → Kavalgeri Halla → Shettar Bangla 1St Stop → Shettar Bangla 2Nd Stop → Kavalgeri → Chandanmatti
1084,Baad ⇆ CBT-D,Baad → Baad Cross → Baad Dhaba → Anand Ashram → Salakin Koppa → Mansur Cross → Borewell → Agro Nagar → Hoysala Nagar → Hallyal Railway Gate → Nehru Nagar Cross → Shivalaya → Servomangala → Dasanakoppa → Dharwad Akashwani → Old Sp Office Sd → Corporation-D → Cbt-D
1087,CBT-D ⇆ Chinmay Colony,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Tajesavi Nagar → Tejasvi Nagar Bus Stop → Sangolli Rayanna Nagar 1St Cross → Sangolli Rayana Nagar → Chinmay Colony
1087,CBT-D ⇆ Chinmay Colony,Chinmay Colony → Sangolli Rayana Nagar → Sangolli Rayanna Nagar 1St Cross → Tejasvi Nagar Bus Stop → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Vijaya Bank-D → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1088,DWR SD ⇆ Tarihal,Dwr Sd → Jubilee Circle → Court Circle  Sd → Nttf → Toll Naka Sd → Saraswathipura → Tajesavi Nagar → Sdm Engg College → Giri Nagar D → Kgt Hatti Kola → Nuggikeri Gudi Cross → Hachinmani College Sd → Nuggikeri → Yerikoppa → Masur Garden → Mangundi Cross → Eti Gatti Cross → Nayakana Hulikatti Cross → Kanavihonnapur D1 → Kanive Honnapur 1St Stop → Joshi Farm → Vajpey Nagar → Tarihal Politechnic → Tarihal
1088,Tarihal ⇆ CBT-D,Tarihal → Tarihal Politechnic → Vajpey Nagar → Joshi Farm → Kanive Honnapur 1St Stop → Kanavihonnapur D2 → Nayakana Hulikatti Cross → Eti Gatti Cross → Mangundi Cross → Masur Garden → Yerikoppa → Nuggikeri → Hachinmani College Sd → Nuggikeri Gudi Cross → Kgt Hatti Kola → Giri Nagar D → Sdm Engg College → Tajesavi Nagar → Saraswathipura → Toll Naka Sd → Nttf → Court Circle  Sd2 → Jubilee Circle → Cbt-D
109,Hosur Terminal ⇆ G Basavana Koppa,G Basavana Koppa → G Basavana Koppa 1St Stop → Jodhalli Govt School → Gambyapur Cross → Jodalli → Jodhalli Cross → Jodalli Cross 1St Stop → Jodhalli Matha → Awalakki Factory → Kanive Honnapur N H → Kanive Honnapur Water Tank → Kanive Honnapur 1St Stop → Joshi Farm → Sai Wood Works → Vajpey Nagar → Tarihal Politechnic → Tarihal -X → Vijaya Bank → Steel Factory → Toll Gate → Jagadish Nagar Cross → Infosys → Deshpande Foundation → Durga Gudi → Gokul Cross → Airport → Kec → Neharu Nagar Water Tank → Manjunatha Nagar Cross → Basaveshwara Nagar Cross → Akshay Park → New Bus Stand-H → Rwh → Quarters → Church Sh → Hosur Terminal
109,Hosur Terminal ⇆ G Basavana Koppa,Hosur Terminal → M M Joshi → Quarters → Rwh → New Bus Stand-H → Akshay Park → Basaveshwara Nagar Cross → Manjunatha Nagar Cross → Neharu Nagar Water Tank → Kec → Airport → Gokul Cross → Durga Gudi → Deshpande Foundation → Infosys → Jagadish Nagar Cross → Toll Gate → Steel Factory → Vijaya Bank → Tarihal -X → Tarihal Politechnic → Vajpey Nagar → Sai Wood Works → Joshi Farm → Kanive Honnapur 1St Stop → Kanive Honnapur Water Tank → Kanive Honnapur N H → Awalakki Factory → Jodhalli Matha → Jodalli Cross 1St Stop → Jodhalli Cross → Jodalli → Gambyapur Cross → Jodhalli Govt School → G Basavana Koppa 1St Stop → G Basavana Koppa
1090,Agri College ⇆ CBT-D,Agri College → Admission Office → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Cbt-D
1090,Agri College ⇆ CBT-D,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Admission Office → Agri College
11,Devang Pet ⇆ CBT,Cbt → Chandrakala Talkies → Railway Station-H → Corporation-H → Court → Deshpande Nagar → Rotary School → Bailappanavar Nagar → Pai Hotel → Ganesh Temple/ Bridge → Kaveri → Ashok Nagar → Vijaya Hotel → Thirupathi Bajar → Kempannavar Hall → Hostel-H → Sadhana Apartment → Rajaji Nagar → Bannigida → Devang Pet
11,Devang Pet ⇆ CBT,Devang Pet → Bannigida → Rajaji Nagar → Hostel-H → Kempannavar Hall → Thirupathi Bajar → Vijaya Hotel → Ashok Nagar → Kaveri → Ganesh Temple/ Bridge → Rotary School → Deshpande Nagar → Court → Corporation-H → Railway Station-H → Chandrakala Talkies → Cbt
111,Giriyal ⇆ Hosur Terminal,Giriyal → Katnur Cross → Katnur → Katnur Cross → Mavanur → Katnur Matta → Halla Hg → Ms(Milestone) → Renuka Colony → Giriyal Bridge → Nekkar Nagar → Bridge → Someshwara Nagar → Eshwar Nagar → Jannat Nagar → Junglee Pet → Old Hubli → New English School-H → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
111,Giriyal ⇆ Hosur Terminal,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Old Hubli → Junglee Pet → Jannat Nagar → Eshwar Nagar → Someshwara Nagar → Bridge → Nekkar Nagar → Giriyal Bridge → Renuka Colony → Ms(Milestone) → Halla Hg → Katnur Matta → Mavanur → Katnur Cross → Katnur → Katnur Cross → Giriyal
112,Hallyal ⇆ Hosur Terminal,Hallyal → Halliyal Horkeri Oni → Yallaman Gudi → Hallyal Road → Someshwar Samudhaya → Basaweshwar Gudi → Railway Gate H → Keb → Soniya Gandhi Nagar Cross → Bidnal Govt School → Basaweshwar Cross → Bidnal Cross Sh → Bankapur Chouk Sh → New English School Sh → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
112,Hallyal ⇆ Hosur Terminal,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Bankapur Chouk Sh → Bidnal Cross Sh → Basaweshwar Cross → Bidnal Govt School → Soniya Gandhi Nagar Cross → Keb → Railway Gate H → Basaweshwar Gudi → Someshwar Samudhaya → Hallyal Road → Yallaman Gudi → Halliyal Horkeri Oni → Hallyal
113,Hosur Terminal ⇆ Ittigatti,Hosur Terminal → M M Joshi → Hanuman Temple-H → Quarters → Rwh → New Bus Stand-H → Akshay Park → Basaveshwara Nagar Cross → Manjunatha Nagar Cross → Neharu Nagar Water Tank → Kec → Airport → Gokul Cross → Durga Gudi → Deshpande Foundation → Infosys → Jagadish Nagar Cross → Toll Gate → Steel Factory → Vijaya Bank → Tarihal -X → Tarihal Politechnic → Vajpey Nagar → Sai Wood Works → Joshi Farm → Kanive Honnapur 1St Stop → Kanive Honnapur Water Tank → Kanive Honnapur N H → Kanive Honnapur → Eti Gatti Cross → Eti Gatti Nh Bridge/ Halla → Eti Gatti 1St Stop → Ittigatti
113,Hosur Terminal ⇆ Ittigatti,Ittigatti → Eti Gatti 1St Stop → Eti Gatti Nh Bridge/ Halla → Eti Gatti Cross → Kanive Honnapur → Kanive Honnapur N H → Kanive Honnapur Water Tank → Kanive Honnapur 1St Stop → Joshi Farm → Sai Wood Works → Vajpey Nagar → Tarihal Politechnic → Tarihal -X → Vijaya Bank → Steel Factory → Toll Gate → Jagadish Nagar Cross → Infosys → Deshpande Foundation → Durga Gudi → Gokul Cross → Airport → Kec → Neharu Nagar Water Tank → Manjunatha Nagar Cross → Basaveshwara Nagar Cross → Akshay Park → New Bus Stand-H → Rwh → Quarters → M M Joshi → Hosur Terminal
114,Hosur Terminal ⇆ Kardikoppa,Kardikoppa → Inam Virapur → Bommasamudra → Bommasamudra  Cross → Belgali → Belgali Govt School → Monkey Factory → Noolvi Cross → Adrgunchi Cross → Shantinath Goshal → Budurshingi → Shantinath Goshal → Budarsingi → Kundagol Cross → Gabbur Sh → Bidnal Cross Sh → New English School Sh → Obs Sh → Hosur Terminal
114,Hosur Terminal ⇆ Kardikoppa,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Bankapur Chouk Sh → Bidnal Cross Sh → Gabbur Sh → Kundagol Cross → Budarsingi → Shantinath Goshal → Budurshingi → Shantinath Goshal → Adrgunchi Cross → Noolvi Cross → Monkey Factory → Belgali Govt School → Belgali → Bommasamudra  Cross → Bommasamudra → Inam Virapur → Kardikoppa
116,Hosur Terminal ⇆ Kuruvina Koppa,Kuruvina Koppa → Kuruvina Koppa 1St Stop → Kuruvina Koppa Cross → Addadari Cross → Cement Factory → Oil Mill → Bhudhanagudda Cross → Murudeshwara Factory → Chalmatti Cross → Water World → Dr Banglow → Dhabha → Nursary → Gopalbhag → Anchitageri → Wali → Kempegeri → Karwar Road Bypass → Grid Sh → Indi Pump Sh → Hosur Terminal
